Credit_Score,Debt,Income,Loan_Amount,Account_Age,Years_Employed,Num_Bank_Accounts,Num_Credit_Cards,Gender,Married,Education_Level,Employment_Type,City,Housing_Status,Citizenship,Customer_ID,Zip_Code,Random_Code,Dependents,Credit_Cards_Limit,Approved
792,275731,66652,98644,10,33,9,6,Female,Yes,High School,Government,Islamabad,Own,By Birth,100072,35234,881552,4,142283,0
340,-231329,136048,86580,18,11,5,5,Female,No,High School,Private,Lahore,Mortgage,By Birth,100073,40505,614906,2,457567,0
456,57732,80941,142335,21,26,1,5,Male,No,PhD,Private,Karachi,Rent,By Birth,100074,96030,223997,4,421547,0
314,51921,356972,25752,30,23,3,5,Male,No,Bachelor,Government,Multan,Rent,By Other Means,100075,76866,244313,1,386264,0
364,117734,177182,16621,29,32,8,0,Male,Yes,High School,Government,Lahore,Mortgage,By Birth,100076,58465,525115,3,326112,0
820,392248,418565,47369,3,14,3,3,Female,Yes,PhD,Self-employed,Karachi,Rent,By Other Means,100077,21132,327438,0,387400,1
643,137912,181446,77592,20,31,7,4,Female,Yes,Master,Private,Lahore,Family,By Other Means,100078,55263,899912,0,114510,0
428,31440,366689,65267,18,16,3,2,Female,No,PhD,Private,Lahore,Mortgage,By Other Means,100079,50251,310067,0,423230,0
771,35183,392767,91873,20,34,2,5,Male,No,Master,Self-employed,Islamabad,Mortgage,By Other Means,100080,93046,492034,1,296082,1
362,358316,586879,129790,5,34,6,7,Male,No,PhD,Self-employed,Lahore,Rent,By Other Means,100081,94637,235166,0,142957,0
438,133461,413273,19245,7,12,2,3,Female,No,High School,Self-employed,Karachi,Mortgage,By Birth,100082,86333,661202,3,186895,0
798,114515,375973,37676,27,8,5,6,Male,Yes,Bachelor,Self-employed,Islamabad,Own,By Other Means,100083,87060,302353,1,409022,1
691,385327,795896,118982,21,9,5,6,Female,No,High School,Government,Islamabad,Mortgage,By Other Means,100084,15185,488743,4,480633,0
718,328443,346722,201868,8,0,5,2,Male,Yes,High School,Government,Lahore,Mortgage,By Birth,100085,89742,637465,4,189136,0
588,220533,170193,188576,30,33,6,1,Female,No,Master,Self-employed,Lahore,Mortgage,By Other Means,100086,71842,891217,1,176277,0
678,115503,287637,137424,9,36,3,5,Male,Yes,Bachelor,Private,Karachi,Family,By Birth,100087,33152,805390,3,50485,1
789,39023,646469,10243,9,24,5,2,Female,Yes,Bachelor,Private,Multan,Family,By Birth,100088,83902,593482,1,260081,1
530,181101,612106,244067,29,21,8,5,Male,Yes,High School,Private,Islamabad,Own,By Other Means,100089,60838,312284,1,316575,0
340,302085,239778,181405,9,9,4,0,Female,Yes,PhD,Private,Islamabad,Own,By Birth,100090,37813,156422,4,485771,0
327,383821,522895,64484,25,25,5,3,Male,Yes,PhD,Private,Islamabad,Rent,By Other Means,100091,11295,166900,1,272882,0
434,218031,283575,89926,3,18,1,5,Female,Yes,Bachelor,Self-employed,Lahore,Own,By Birth,100092,57117,522101,3,379414,0
500,76054,473685,98730,17,39,1,3,Female,Yes,High School,Private,Multan,Mortgage,By Other Means,100093,71379,916596,0,217767,1
332,-327507,475457,54974,11,40,8,4,Female,No,High School,Government,Karachi,Rent,By Birth,100094,27657,284995,3,404595,0
347,61742,644367,101383,24,3,2,1,Male,No,Master,Government,Karachi,Family,By Birth,100095,12309,578915,3,219296,0
802,45215,799558,220812,10,39,7,6,Male,No,Bachelor,Private,Islamabad,Rent,By Other Means,100096,97876,914346,4,176307,1
706,310001,237199,70702,15,4,7,6,Male,No,PhD,Government,Lahore,Family,By Birth,100097,21042,245159,0,217696,0
398,317620,424567,157382,18,28,9,4,Female,No,PhD,Self-employed,Multan,Mortgage,By Birth,100098,41385,838889,2,138104,0
846,159245,707843,115827,10,37,1,4,Female,No,,Private,Karachi,Mortgage,By Other Means,100099,36544,616107,1,145088,1
761,321912,313339,153511,22,4,2,1,Male,Yes,Master,Self-employed,Karachi,Family,By Birth,100100,88020,492544,0,491667,0
304,241443,788303,137326,3,0,1,0,Female,Yes,PhD,Government,Lahore,Rent,By Other Means,100101,58792,768708,4,466694,0
517,103591,799568,9286,11,27,1,3,Male,Yes,Bachelor,Private,Karachi,Family,By Other Means,100102,33633,951392,1,365666,1
802,249045,778049,209617,27,18,4,2,Female,Yes,High School,Self-employed,Islamabad,Own,By Other Means,100103,52853,579568,4,470466,1
697,46229,173807,74543,16,35,8,1,Female,No,Bachelor,Self-employed,Lahore,Mortgage,By Birth,100104,31661,900909,1,434089,1
692,373850,559491,19992,23,0,8,4,Male,No,Bachelor,Self-employed,Islamabad,Family,By Other Means,100105,77359,296449,4,293389,0
506,62583,286118,67052,12,28,9,7,Female,Yes,Bachelor,Self-employed,Islamabad,Rent,By Birth,100106,34674,928455,4,448666,1
314,255931,255281,242134,27,35,2,6,Female,No,High School,Self-employed,Multan,Family,By Birth,100107,30051,321018,4,196474,0
760,159996,384913,145795,3,31,7,2,Female,No,Bachelor,Government,Lahore,Rent,By Birth,100108,65070,627639,1,474031,1
540,126011,798459,98640,26,13,4,5,Female,No,High School,Private,Karachi,Mortgage,By Other Means,100109,88803,581086,2,411119,1
395,292248,629510,70183,5,31,3,1,Female,Yes,PhD,Self-employed,Islamabad,Rent,By Other Means,100110,37738,470959,0,272393,0
784,240660,522578,150662,6,8,4,5,Female,Yes,Master,Self-employed,Multan,Mortgage,By Other Means,100111,31425,808146,1,471882,0
706,299738,32636,86174,7,18,4,1,Female,No,High School,Government,Karachi,Mortgage,By Birth,100112,56652,586415,2,127281,0
530,265808,317214,50002,25,10,3,0,Male,No,Master,Private,Karachi,Rent,By Other Means,100113,27038,724697,0,335975,0
470,272672,665261,182851,1,3,9,5,Male,No,Master,Private,Karachi,Family,By Other Means,100114,82957,840002,1,220685,0
840,159262,441976,227156,8,40,8,0,Female,Yes,PhD,Private,Karachi,Own,By Birth,100115,65435,844643,0,231295,1
335,197105,549254,242265,9,24,2,3,Female,No,High School,Private,Multan,Family,By Birth,100116,79642,644993,2,174859,0
824,204249,787111,148088,28,16,3,3,Female,No,PhD,Private,Multan,Rent,By Birth,100117,41593,929600,4,330421,1
459,128404,366106,184255,18,7,7,2,Female,Yes,High School,Government,Karachi,Mortgage,By Birth,100118,59730,526710,3,60862,0
542,201664,623986,140816,0,0,5,3,Male,No,Master,Self-employed,Lahore,Rent,By Other Means,100119,33264,901783,0,116558,0
385,295043,429274,226289,15,1,1,7,Female,Yes,Master,Private,Multan,Family,By Birth,100120,73512,811736,1,162871,0
327,333123,585770,244172,17,9,1,5,Male,Yes,Bachelor,Private,Karachi,Rent,By Other Means,100121,21216,998250,3,364346,0
639,17241,260275,115269,7,26,8,5,Male,Yes,High School,Self-employed,Multan,Mortgage,By Other Means,100122,25024,307939,0,296304,1
630,-308355,22998,238663,9,26,6,1,Female,No,Master,Self-employed,Multan,Rent,By Other Means,100123,34085,940411,0,265847,0
805,63472,142659,104306,21,12,4,7,Male,No,High School,Private,Karachi,Mortgage,By Birth,100124,47058,773547,3,300352,0
647,205320,81265,182429,10,10,3,1,Female,No,PhD,Government,Islamabad,Mortgage,By Birth,100125,41127,338864,4,104964,0
772,31346,86445,35239,16,13,9,1,Male,Yes,PhD,Self-employed,Lahore,Rent,By Other Means,100126,18915,261652,1,183749,1
530,81196,185720,232502,26,31,9,5,Male,No,High School,Self-employed,Multan,Family,By Other Means,100127,10654,914559,1,77347,0
489,366595,682887,101001,24,15,4,1,Female,No,Master,Government,Karachi,Family,By Birth,100128,62012,943009,4,163494,0
524,208196,678432,148994,30,28,8,0,Male,Yes,PhD,Self-employed,Karachi,Own,By Other Means,100129,35393,138092,2,376378,0
684,365052,425234,136156,6,37,4,1,Male,Yes,Master,Self-employed,Islamabad,Own,By Birth,100130,12416,481452,0,179372,0
676,-149014,573940,57147,25,33,8,7,Female,No,High School,Private,Multan,Family,By Other Means,100131,10125,146436,2,309620,1
582,311311,24476,116319,26,25,7,1,Male,Yes,Bachelor,,Lahore,Mortgage,By Birth,100132,15709,597832,3,410508,0
558,298517,640056,65631,2,4,6,1,Male,No,Master,Self-employed,Lahore,Rent,By Other Means,100133,25803,376883,1,437998,0
658,329287,178554,20373,28,18,7,4,Female,No,PhD,Government,Islamabad,Rent,By Birth,100134,71575,253856,3,339073,0
755,120623,778153,10156,6,38,6,5,Male,No,High School,Self-employed,Lahore,Rent,By Other Means,100135,67224,795086,0,316850,1
710,372157,213585,241570,5,27,6,5,Female,Yes,Bachelor,Government,Lahore,Mortgage,By Other Means,100136,65672,341750,1,400948,0
617,2016,237483,174623,2,27,7,2,Female,No,PhD,Government,Karachi,Family,By Other Means,100137,98521,561004,3,81005,0
524,331254,312592,43463,7,16,4,5,Female,Yes,High School,Government,Islamabad,Family,By Birth,100138,36213,684836,1,268769,0
533,7274,493119,115661,0,36,5,7,Male,No,High School,Self-employed,Multan,Mortgage,By Birth,100139,99767,945544,1,315416,1
673,15748,438336,54305,4,18,9,6,Female,Yes,Master,Government,Islamabad,Mortgage,By Birth,100140,31714,384002,1,210120,1
771,11826,469769,145725,23,26,2,2,Male,Yes,Bachelor,Private,Lahore,Family,By Birth,100141,49884,292255,2,274260,1
532,345152,481849,224406,18,11,9,7,Male,No,High School,Self-employed,Karachi,Rent,By Other Means,100142,23528,245372,3,139792,0
412,129288,195657,28068,26,2,5,7,Male,No,Bachelor,Self-employed,Multan,Rent,By Birth,100143,74381,212961,4,366787,0
796,201081,676444,170859,12,3,1,1,Female,Yes,Bachelor,Government,Lahore,Rent,By Birth,100144,17561,797007,1,301603,1
741,251054,118856,161745,25,10,7,5,Female,Yes,Master,Government,Karachi,Family,By Other Means,100145,17044,306901,0,286093,0
567,367767,173016,152227,10,33,5,1,Male,No,High School,Government,Lahore,Rent,By Other Means,100146,67165,654626,2,196227,0
809,172507,81282,5570,27,17,3,2,Female,Yes,High School,Government,Lahore,Mortgage,By Birth,100147,24747,366005,2,455221,1
685,206089,107393,111226,21,34,3,3,Female,No,Master,Private,Islamabad,Family,By Other Means,100148,21336,826477,4,207615,0
686,223023,726757,86736,25,17,1,4,Male,No,Master,Self-employed,Lahore,Family,By Other Means,100149,46329,531436,4,133604,1
412,-345250,674110,193564,10,5,7,4,Female,No,High School,Government,Multan,Rent,By Other Means,100150,39255,679457,2,220054,0
380,192949,562358,147841,1,33,2,5,Female,No,,Private,Lahore,Own,By Birth,100151,94108,761430,2,174164,0
412,316782,730347,43921,8,32,8,3,Male,No,High School,Government,Islamabad,Family,By Other Means,100152,31062,354152,3,477496,0
301,-69072,790741,155147,1,7,4,1,Male,Yes,PhD,,Karachi,Mortgage,By Birth,100153,66825,630827,2,76223,0
519,67309,76690,94589,20,19,4,2,Male,Yes,Bachelor,Self-employed,Lahore,Family,By Birth,100154,25555,608599,2,153941,0
524,160966,765371,15301,18,19,5,6,Female,Yes,Bachelor,Private,Lahore,Rent,By Birth,100155,61092,941708,1,161727,1
684,386868,605422,207115,25,17,9,4,Female,No,Master,Government,Islamabad,Mortgage,By Other Means,100156,77216,632576,4,403172,1
702,185639,542386,129798,11,26,7,3,Male,No,PhD,Self-employed,Karachi,Own,By Birth,100157,95556,365189,3,154189,1
429,389987,389137,239245,8,4,3,7,Female,Yes,Bachelor,Government,Lahore,Own,By Other Means,100158,62225,862452,2,134133,0
352,35326,472655,191073,8,6,4,6,Female,Yes,High School,Self-employed,Lahore,Rent,By Other Means,100159,72369,197742,3,317908,0
715,-186131,313633,184431,22,21,9,3,Female,No,Bachelor,Government,Multan,Mortgage,By Birth,100160,99066,880877,4,349837,1
546,267223,43178,60119,9,33,1,0,Female,Yes,Bachelor,Private,Islamabad,Mortgage,By Birth,100161,56983,842794,2,202713,0
738,383556,340100,74191,4,12,8,5,Female,Yes,Bachelor,Self-employed,Karachi,Own,By Other Means,100162,40444,522033,1,179199,0
502,87340,198874,21347,8,31,8,3,Female,Yes,High School,Private,Lahore,Rent,By Birth,100163,80910,508114,2,291986,1
483,347355,785823,126359,22,23,7,7,Male,No,Master,Private,Islamabad,Rent,By Birth,100164,32472,715640,4,365963,0
422,304893,82778,27053,17,15,6,0,Male,Yes,High School,Government,Islamabad,Own,By Birth,100165,67137,881255,3,64505,0
700,-167364,208791,64056,9,13,7,0,Male,No,Master,Self-employed,Islamabad,Family,By Other Means,100166,47504,221079,1,202500,1
593,118192,446904,204100,16,38,4,5,Female,No,Bachelor,Private,Karachi,Own,By Birth,100167,32132,233697,0,412056,1
579,336678,655754,63688,25,6,4,4,Female,Yes,Bachelor,Government,Islamabad,Mortgage,By Other Means,100168,86381,487155,0,315242,0
497,251749,138292,131845,9,11,5,6,Male,Yes,PhD,Government,Lahore,Family,By Other Means,100169,37436,216152,4,471064,0
810,341377,256424,63450,13,19,4,6,Female,Yes,Bachelor,Private,Lahore,Family,By Other Means,100170,88909,405561,4,348922,0
443,51818,66475,131385,3,32,4,1,Female,Yes,High School,Private,Karachi,Family,By Birth,100171,35923,209415,1,61557,0
500,374054,332841,148376,9,5,9,1,Female,Yes,Bachelor,Private,Lahore,Mortgage,By Birth,100172,10375,449641,3,306591,0
423,13429,180749,109816,23,39,6,3,Female,Yes,PhD,Government,Karachi,Own,By Other Means,100173,22401,153747,2,218607,0
486,57748,30272,36403,21,26,3,2,Male,No,High School,Self-employed,Lahore,Family,By Birth,100174,72541,706710,0,489352,0
625,48807,533214,118547,29,12,3,6,Female,No,PhD,Government,Islamabad,Rent,By Other Means,100175,27328,841479,0,340685,1
763,269284,128644,112078,17,4,8,6,Female,Yes,PhD,Private,Lahore,Rent,By Birth,100176,93985,633597,4,145943,0
648,325370,226308,107654,4,23,3,2,Female,Yes,High School,Government,Islamabad,Family,By Other Means,100177,40858,148870,4,142694,0
702,238161,168369,81418,8,9,4,0,Female,No,Master,Self-employed,Karachi,Own,By Birth,100178,37596,966309,3,178831,0
645,350959,727292,173496,5,31,6,6,Female,Yes,Master,Government,Multan,Mortgage,By Other Means,100179,58270,509057,1,474021,1
810,290669,257957,64924,15,8,9,5,Male,Yes,Master,Government,Islamabad,Family,By Other Means,100180,80858,736215,0,175793,0
446,282635,441841,133391,21,34,6,3,Female,Yes,Master,Government,Islamabad,Mortgage,By Other Means,100181,81562,130193,3,373831,0
447,199888,573119,210119,22,11,3,3,Male,No,PhD,Government,Multan,Rent,By Birth,100182,56840,149710,1,325342,0
788,166052,795035,222307,15,10,6,1,Male,Yes,PhD,Government,Multan,Rent,By Birth,100183,20714,645615,0,478777,1
850,226597,400457,157250,28,35,4,2,Female,No,High School,Private,Lahore,Family,By Other Means,100184,26822,964274,2,337801,1
637,-8078,668238,153893,10,7,5,4,Female,No,High School,Self-employed,Karachi,Mortgage,By Other Means,100185,72906,151202,3,474868,0
772,91654,469694,218023,20,9,5,6,Female,No,Master,Private,Lahore,Own,By Birth,100186,84563,202540,0,220799,1
450,129101,345053,5714,14,13,3,6,Male,Yes,Master,Government,Karachi,Rent,By Birth,100187,77768,549105,1,179282,0
714,16997,721173,249465,18,29,5,5,Female,Yes,Master,Government,Multan,Mortgage,By Birth,100188,42654,482079,0,390944,1
597,131940,514090,210839,2,0,5,3,Male,Yes,Master,Government,Islamabad,Own,By Birth,100189,33372,315414,2,69518,0
562,212650,564409,87328,15,11,7,7,Male,Yes,Master,Self-employed,Karachi,Mortgage,By Other Means,100190,19045,519240,4,161532,1
443,359500,317691,249539,20,4,9,3,Female,No,PhD,Private,Karachi,Rent,By Other Means,100191,84607,319142,4,284607,0
645,375855,345786,134196,19,13,5,1,Female,Yes,PhD,Private,Karachi,Rent,By Other Means,100192,55671,836789,3,411797,0
301,283390,307058,119312,4,35,9,4,Female,Yes,PhD,Government,Multan,Family,By Other Means,100193,32612,726718,1,218524,0
603,151633,398808,77882,29,16,5,4,Female,Yes,PhD,Private,Multan,Mortgage,By Other Means,100194,88009,182556,2,272543,1
553,34512,523148,111342,8,21,4,7,Male,Yes,Master,Self-employed,Lahore,Rent,By Birth,100195,81489,785055,1,400308,1
752,225226,692538,160196,4,30,6,7,Male,No,PhD,Private,Islamabad,Mortgage,By Other Means,100196,17676,490738,3,108398,1
336,208467,87258,225656,3,25,8,4,Male,No,Master,Government,Islamabad,Family,By Other Means,100197,74970,237234,2,71123,0
459,320009,754781,91951,12,12,4,5,Male,No,PhD,Private,Lahore,Rent,By Birth,100198,45452,526030,0,474212,1
308,365537,80563,22511,19,2,5,4,Male,No,PhD,Private,Karachi,Rent,By Other Means,100199,66744,676654,4,234256,0
532,72144,201122,59588,16,10,1,6,Female,No,Bachelor,Private,Multan,Own,By Birth,100200,36228,661607,0,159331,0
398,173557,85638,243274,25,4,1,2,Male,No,Master,Private,Islamabad,Family,By Birth,100201,21406,226957,0,241427,0
507,117363,426478,82567,19,37,8,5,Female,Yes,Master,Self-employed,Islamabad,Mortgage,By Birth,100202,78339,830991,1,123947,1
430,312809,420669,147287,11,3,7,7,Male,Yes,PhD,Government,Islamabad,Mortgage,By Other Means,100203,45581,292476,1,354041,0
703,201484,783303,147923,29,31,5,6,Male,No,High School,Private,Karachi,Own,By Birth,100204,16604,931287,3,130389,1
451,181675,720534,169622,19,9,9,0,Male,No,Master,Private,Lahore,Family,By Birth,100205,64222,100623,0,400450,0
353,152110,621076,239676,24,9,1,6,Female,No,PhD,Private,Lahore,Mortgage,By Birth,100206,38087,471761,0,167682,0
419,93542,379271,121867,26,17,3,4,Male,Yes,Master,Self-employed,Islamabad,Mortgage,By Other Means,100207,69377,654492,0,91124,0
719,363455,689037,60958,19,22,6,0,Male,No,Master,Government,Karachi,Own,By Birth,100208,22338,901296,4,314194,1
721,276469,424255,137250,6,17,1,0,Male,No,High School,Self-employed,Multan,Rent,By Birth,100209,51189,958657,2,334269,0
403,-166964,286714,204014,0,34,6,6,Male,Yes,High School,Government,Islamabad,Mortgage,By Birth,100210,64418,967309,4,105164,0
553,394969,92242,182386,29,2,2,1,Male,No,Bachelor,Private,Lahore,Family,By Other Means,100211,73562,362428,0,361247,0
526,149068,424871,89727,15,0,5,4,Male,Yes,High School,Government,Karachi,Mortgage,By Birth,100212,25691,355943,3,189990,0
411,330955,249810,115756,6,16,2,2,Male,No,PhD,Government,Lahore,Mortgage,By Other Means,100213,67856,133139,2,221355,0
809,205355,67907,220756,29,5,1,7,Male,Yes,High School,Government,Islamabad,Family,By Birth,100214,41782,773285,2,92114,0
